recipeName,Rating,instructions,ingredientName
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",onion
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",pork
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",salt
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",cola
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",pepper
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.",bread
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.",butter
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.","corn beef"
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.",sauerkraut
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.","swiss cheese"
